Name,Id
id,1
gender,2
PPE,3
DFA,4
RPDE,5
numPulses,2
numPeriodsPulses,2
meanPeriodPulses,2
stdDevPeriodPulses,5
locPctJitter,5
locAbsJitter,5
rapJitter,5
ppq5Jitter,5
ddpJitter,5
locShimmer,5
locDbShimmer,5
apq3Shimmer,5
apq5Shimmer,5
apq11Shimmer,5
ddaShimmer,5
meanAutoCorrHarmonicity,5
meanNoiseToHarmHarmonicity,5
meanHarmToNoiseHarmonicity,5
minIntensity,6
maxIntensity,6
meanIntensity,6
f1,7
f2,7
f3,8
f4,8
b1,9
b2,10
b3,11
b4,12
GQ_prc5_95,13
GQ_std_cycle_open,13
GQ_std_cycle_closed,13
GNE_mean,14
GNE_std,14
GNE_SNR_TKEO,15
GNE_SNR_SEO,16
GNE_NSR_TKEO,15
GNE_NSR_SEO,17
VFER_mean,2
VFER_std,2
VFER_entropy,2
VFER_SNR_TKEO,18
VFER_SNR_SEO,19
VFER_NSR_TKEO,18
VFER_NSR_SEO,19
IMF_SNR_SEO,20
IMF_SNR_TKEO,21
IMF_SNR_entropy,20
IMF_NSR_SEO,21
IMF_NSR_TKEO,20
IMF_NSR_entropy,21
mean_Log_energy,5
mean_MFCC_0th_coef,22
mean_MFCC_1st_coef,23
mean_MFCC_2nd_coef,4
mean_MFCC_3rd_coef,8
mean_MFCC_4th_coef,24
mean_MFCC_5th_coef,19
mean_MFCC_6th_coef,9
mean_MFCC_7th_coef,25
mean_MFCC_8th_coef,26
mean_MFCC_9th_coef,2
mean_MFCC_10th_coef,24
mean_MFCC_11th_coef,27
mean_MFCC_12th_coef,28
mean_delta_log_energy,29
mean_0th_delta,29
mean_1st_delta,30
mean_2nd_delta,31
mean_3rd_delta,32
mean_4th_delta,33
mean_5th_delta,34
mean_6th_delta,35
mean_7th_delta,36
mean_8th_delta,37
mean_9th_delta,38
mean_10th_delta,39
mean_11th_delta,40
mean_12th_delta,41
mean_delta_delta_log_energy,42
mean_delta_delta_0th,43
mean_1st_delta_delta,43
mean_2nd_delta_delta,44
mean_3rd_delta_delta,45
mean_4th_delta_delta,46
mean_5th_delta_delta,47
mean_6th_delta_delta,48
mean_7th_delta_delta,49
mean_8th_delta_delta,50
mean_9th_delta_delta,51
mean_10th_delta_delta,52
mean_11th_delta_delta,53
mean_12th_delta_delta,54
std_Log_energy,5
std_MFCC_0th_coef,55
std_MFCC_1st_coef,55
std_MFCC_2nd_coef,55
std_MFCC_3rd_coef,56
std_MFCC_4th_coef,56
std_MFCC_5th_coef,56
std_MFCC_6th_coef,56
std_MFCC_7th_coef,56
std_MFCC_8th_coef,56
std_MFCC_9th_coef,56
std_MFCC_10th_coef,56
std_MFCC_11th_coef,56
std_MFCC_12th_coef,56
std_delta_log_energy,5
std_0th_delta,55
std_1st_delta,55
std_2nd_delta,55
std_3rd_delta,56
std_4th_delta,56
std_5th_delta,56
std_6th_delta,56
std_7th_delta,56
std_8th_delta,56
std_9th_delta,56
std_10th_delta,56
std_11th_delta,56
std_12th_delta,56
std_delta_delta_log_energy,5
std_delta_delta_0th,55
std_1st_delta_delta,55
std_2nd_delta_delta,55
std_3rd_delta_delta,56
std_4th_delta_delta,56
std_5th_delta_delta,56
std_6th_delta_delta,56
std_7th_delta_delta,56
std_8th_delta_delta,56
std_9th_delta_delta,56
std_10th_delta_delta,56
std_11th_delta_delta,56
std_12th_delta_delta,56
Ea,57
Ed_1_coef,58
Ed_2_coef,57
Ed_3_coef,57
Ed_4_coef,57
Ed_5_coef,57
Ed_6_coef,57
Ed_7_coef,57
Ed_8_coef,57
Ed_9_coef,57
Ed_10_coef,57
det_entropy_shannon_1_coef,3
det_entropy_shannon_2_coef,3
det_entropy_shannon_3_coef,57
det_entropy_shannon_4_coef,57
det_entropy_shannon_5_coef,57
det_entropy_shannon_6_coef,57
det_entropy_shannon_7_coef,57
det_entropy_shannon_8_coef,57
det_entropy_shannon_9_coef,57
det_entropy_shannon_10_coef,57
det_entropy_log_1_coef,58
det_entropy_log_2_coef,58
det_entropy_log_3_coef,57
det_entropy_log_4_coef,57
det_entropy_log_5_coef,57
det_entropy_log_6_coef,57
det_entropy_log_7_coef,57
det_entropy_log_8_coef,57
det_entropy_log_9_coef,57
det_entropy_log_10_coef,57
det_TKEO_mean_1_coef,58
det_TKEO_mean_2_coef,58
det_TKEO_mean_3_coef,57
det_TKEO_mean_4_coef,57
det_TKEO_mean_5_coef,57
det_TKEO_mean_6_coef,57
det_TKEO_mean_7_coef,57
det_TKEO_mean_8_coef,57
det_TKEO_mean_9_coef,57
det_TKEO_mean_10_coef,57
det_TKEO_std_1_coef,58
det_TKEO_std_2_coef,58
det_TKEO_std_3_coef,57
det_TKEO_std_4_coef,57
det_TKEO_std_5_coef,57
det_TKEO_std_6_coef,57
det_TKEO_std_7_coef,57
det_TKEO_std_8_coef,57
det_TKEO_std_9_coef,57
det_TKEO_std_10_coef,57
app_entropy_shannon_1_coef,2
app_entropy_shannon_2_coef,2
app_entropy_shannon_3_coef,2
app_entropy_shannon_4_coef,2
app_entropy_shannon_5_coef,2
app_entropy_shannon_6_coef,2
app_entropy_shannon_7_coef,2
app_entropy_shannon_8_coef,2
app_entropy_shannon_9_coef,2
app_entropy_shannon_10_coef,2
app_entropy_log_1_coef,2
app_entropy_log_2_coef,2
app_entropy_log_3_coef,2
app_entropy_log_4_coef,2
app_entropy_log_5_coef,2
app_entropy_log_6_coef,2
app_entropy_log_7_coef,2
app_entropy_log_8_coef,2
app_entropy_log_9_coef,2
app_entropy_log_10_coef,2
app_det_TKEO_mean_1_coef,2
app_det_TKEO_mean_2_coef,2
app_det_TKEO_mean_3_coef,2
app_det_TKEO_mean_4_coef,2
app_det_TKEO_mean_5_coef,2
app_det_TKEO_mean_6_coef,2
app_det_TKEO_mean_7_coef,2
app_det_TKEO_mean_8_coef,2
app_det_TKEO_mean_9_coef,2
app_det_TKEO_mean_10_coef,2
app_TKEO_std_1_coef,2
app_TKEO_std_2_coef,2
app_TKEO_std_3_coef,2
app_TKEO_std_4_coef,2
app_TKEO_std_5_coef,2
app_TKEO_std_6_coef,2
app_TKEO_std_7_coef,2
app_TKEO_std_8_coef,2
app_TKEO_std_9_coef,2
app_TKEO_std_10_coef,2
Ea2,57
Ed2_1_coef,58
Ed2_2_coef,57
Ed2_3_coef,57
Ed2_4_coef,57
Ed2_5_coef,57
Ed2_6_coef,57
Ed2_7_coef,57
Ed2_8_coef,57
Ed2_9_coef,57
Ed2_10_coef,57
det_LT_entropy_shannon_1_coef,58
det_LT_entropy_shannon_2_coef,57
det_LT_entropy_shannon_3_coef,57
det_LT_entropy_shannon_4_coef,57
det_LT_entropy_shannon_5_coef,57
det_LT_entropy_shannon_6_coef,59
det_LT_entropy_shannon_7_coef,59
det_LT_entropy_shannon_8_coef,59
det_LT_entropy_shannon_9_coef,60
det_LT_entropy_shannon_10_coef,60
det_LT_entropy_log_1_coef,58
det_LT_entropy_log_2_coef,57
det_LT_entropy_log_3_coef,57
det_LT_entropy_log_4_coef,57
det_LT_entropy_log_5_coef,57
det_LT_entropy_log_6_coef,57
det_LT_entropy_log_7_coef,57
det_LT_entropy_log_8_coef,57
det_LT_entropy_log_9_coef,57
det_LT_entropy_log_10_coef,57
det_LT_TKEO_mean_1_coef,58
det_LT_TKEO_mean_2_coef,57
det_LT_TKEO_mean_3_coef,57
det_LT_TKEO_mean_4_coef,57
det_LT_TKEO_mean_5_coef,57
det_LT_TKEO_mean_6_coef,57
det_LT_TKEO_mean_7_coef,57
det_LT_TKEO_mean_8_coef,57
det_LT_TKEO_mean_9_coef,57
det_LT_TKEO_mean_10_coef,57
det_LT_TKEO_std_1_coef,58
det_LT_TKEO_std_2_coef,57
det_LT_TKEO_std_3_coef,57
det_LT_TKEO_std_4_coef,57
det_LT_TKEO_std_5_coef,57
det_LT_TKEO_std_6_coef,57
det_LT_TKEO_std_7_coef,57
